"A1"||"A"||1||0|||13|||13||0|0|0|0|0|0|93|95|100|92|95|100|78|85|93|57|62|70||41.1|||3.9|||5.4|||7.2|||12.8|||11.8|||36.9||||||||18|22|26|0|0|0|2|3|4||||1.38|1.43|1.48||||1.5|1.55|1.59|2.57|5|10|15|0.17|0.19|0.21||||27|29.9|32.9|12.4|16|20|38|41|44|1.9|2.7|3.6|32|38|44|12|15|18|4|7|12|".24"|".24"|0|0|0|0|0|0|0|0|0|0|1|2|15.5|18.6|21.7||||14.7|18|21.4|6.6|6.7|7.3||||||||||2.4|4.7|5.7|||||||||||||||||||||"26660886"|"79599813"
"BC"||"BC"||||102|||165|||63||0|0|0|0|0|0|92|95|100|92|95|100|80|88|98|64|71|80||30|||2.8|||3.1|||5.7|||10.1|||8.3|||30||||||||35|40|45|0|0|2|0|0.25|0.5||||1.26|1.31|1.36||||1.57|1.62|1.69|2.59|0.5|1|1.5|0.14|0.16|0.18||||27.4|29.5|39.8|17.7|20.8|24.3|43|46|49|5|7.1|8.6|44|51|56|24|29|33|13|20|28|".28"|".28"|0|0|1|0|0|0|0|0|0|0|1|2|23.5|28.7|31.3||||23.5|30.2|70.3|7.4|7.7|7.8||||||||||1.2|2.1|3.3|||||||||||||||||||||"26660886"|"79599811"
"A2"||"A"||2||13|||51|||38||0|0|0|0|0|0|93|96|100|92|95|100|78|86|95|58|65|73||38.5|||3.4|||4.9|||6.7|||12.1|||11.4|||36.5||||||||20|25|30|0|0|0|2|3|4||||1.4|1.45|1.5||||1.55|1.6|1.66|2.57|5|10|15|0.17|0.19|0.21||||27.9|31.1|34.3|13.6|17.9|22.5|38|40|43|2.3|3.3|4.4|34|41|48|13|17|21|5|10|16|".28"|".28"|0|0|0|0|0|0|0|0|0|0|1|2|17|20.8|24.6||||16|19.8|24.1|6.6|6.7|7.3||||||||||2.5|4.9|6|||||||||||||||||||||"26660886"|"79599814"
"Bt2"||"B"||2||76|||102|||26||0|0|0|0|0|0|92|95|100|92|95|100|79|89|100|64|73|84||28.1|||2.2|||2.7|||5.3|||9.8|||8.1|||29.4||||||||35|42.5|50|0|0|0|0.5|0.75|1||||1.36|1.41|1.46||||1.73|1.78|1.91|2.58|0.5|1|1.5|0.14|0.16|0.18||||27.9|36.2|38.7|18.7|23.2|28.2|39|42|45|5.8|7.9|10.4|46|54|63|25|31|37|14|22|34|".28"|".28"|0|0|0|0|0|0|0|0|0|0|1|2|26.2|31.4|36.5||||24.7|29.9|36.3|6.6|6.7|7.3||||||||||3|5.3|6.3|||||||||||||||||||||"26660886"|"79599812"
"Bt1"||"B"||1||51|||76|||25||0|0|0|0|0|0|92|97|100|92|97|100|79|91|100|64|74|84||28.1|||2.2|||2.7|||5.3|||9.8|||8.1|||29.4||||||||35|42.5|50|0|0|0|0.5|0.75|1||||1.36|1.41|1.46||||1.73|1.78|1.91|2.58|0.5|1|1.5|0.15|0.17|0.19||||27.9|36.6|38.7|18.7|23.5|28.2|39|42|45|5.8|8|10.4|46|54|63|25|31|37|14|23|34|".28"|".28"|0|0|0|0|0|0|0|0|0|0|1|2|26.2|31.4|36.5||||24.7|29.9|36.3|6.6|6.7|7.3||||||||||3|5.3|6.3|||||||||||||||||||||"26660886"|"79599815"
"Btk2"||"B"||2||89|||119|||30||0|3|8|0|3|8|90|91|100|90|90|100|75|83|100|58|65|82||33.3|||2.9|||4.1|||5.8|||10.5|||10|||31.7||||||||27|35|45|1|3|5|0|0.25|0.5||||1.48|1.53|1.58||||1.73|1.78|1.98|2.6|1.5|3|5|0.14|0.16|0.18||||26.4|31.2|37.8|14.6|20.6|29.5|31|35|41|2.4|4.7|8.1|35|44|56|16|23|32|7|13|28|".32"|".32"|4|10|13|0|0|0|3|7|12|0|1|2|18.2|23.7|29.4||||25.2|51.1|68.4|7.9|8.4|9||||||||||0|0|1.7|||||||||||||||||||||"26660887"|"79599819"
"A1"||"A"||1||0|||10|||10||29|39|43|7|13|18|59|73|78|58|72|77|46|64|73|32|46|54||43.2|||4.1|||5.6|||7.6|||13.5|||12.4|||38.8||||||||10|18|25|0|0|0|2|3|4||||1.31|1.36|1.41||||1.39|1.44|1.54|2.58|5|10|15|0.08|0.1|0.12||||8.7|14.6|21|2.9|6.9|12.1|16|23|31|0.2|1|2.2|25|34|43|6|12|17|0|2|7|".10"|".32"|0|1|2|0|0|0|0|0|0|0|1|2|9.3|15.7|21||||8.9|17.2|60|6.6|7|7.8||||||||||0.3|3.5|5.6|||||||||||||||||||||"26660887"|"79599817"
"Bt"||"B"||||33|||53|||20||0|3|8|0|3|8|90|91|100|90|90|100|76|86|100|61|71|88||26.1|||1.6|||2.2|||5|||9.4|||7.9|||28.9||||||||35|45|55|0|2|4|0.5|1.25|2||||1.32|1.37|1.42||||1.69|1.74|1.95|2.57|0.5|1|1.5|0.14|0.16|0.18||||24.9|35.3|40.5|16.6|23.3|31.6|36|41|46|4.6|7.6|11.4|44|57|69|23|32|40|12|23|40|".24"|".24"|0|2|5|0|0|0|0|0|0|0|1|2|26.2|32.3|38||||24.6|33.8|77|6.6|7.2|7.8||||||||||1.7|4.3|6.8|||||||||||||||||||||"26660887"|"79599821"
"Btk1"||"B"||1||53|||89|||36||0|3|8|0|3|8|90|91|100|90|90|100|75|83|100|58|65|82||33.3|||2.9|||4.1|||5.8|||10.5|||10|||31.7||||||||27|35|45|1|2|4|0|0.25|0.5||||1.48|1.53|1.58||||1.74|1.79|1.98|2.6|1.5|3|5|0.14|0.16|0.18||||26.4|31.2|37.8|14.6|20.6|29.5|31|35|41|2.5|4.9|8.2|35|44|56|17|23|32|7|13|28|".28"|".28"|5|7|12|0|0|0|3|7|12|0|1|2|18.2|24.4|30||||25.9|51.5|69|7.9|8.4|9||||||||||0|0|1.8|||||||||||||||||||||"26660887"|"79599818"
"Bk"||"B"||||119|||165|||46||0|0|0|0|3|8|82|89|91|81|88|90|71|82|90|56|66|77||30|||2.8|||3.1|||5.7|||10.1|||8.3|||30||||||||35|40|50|1|2|3|0|0.25|0.5||||1.26|1.31|1.36||||1.54|1.59|1.74|2.59|0.5|1|1.5|0.14|0.16|0.18||||24.4|27.9|38.7|15.8|19.7|25.5|39|43|46|4.2|6.2|9.1|43|50|61|23|28|36|10|17|29|".28"|".28"|1|2|5|0|0|0|0|0|0|0|1|2|22.9|27.5|33.8||||29|32.1|72.8|7.4|7.8|8.4||||||||||0|1.7|3.6|||||||||||||||||||||"26660887"|"79599816"
