"Very stony"|"164310977"|"48660867"
"Very stony"|"164310984"|"48660868"
"Gravelly"|"164310997"|"48660869"
"Very stony"|"164311017"|"48660870"
"Very stony"|"164311018"|"48660871"
"Gravelly"|"164311034"|"48660873"
"Cobbly"|"164311030"|"48660872"
"Very bouldery"|"164311048"|"48660878"
"Very stony"|"164311049"|"48660879"
"Extremely bouldery"|"164311050"|"48660880"
"Stony"|"164311044"|"48660874"
"Extremely stony"|"164311047"|"48660877"
"Very bouldery"|"164311046"|"48660876"
"Very bouldery"|"164311045"|"48660875"
"Extremely bouldery"|"164311051"|"48660881"
"Extremely bouldery"|"164311052"|"48660882"
"Very bouldery"|"164311053"|"48660883"
"Very gravelly"|"164311074"|"48660886"
"Very gravelly"|"164311073"|"48660885"
"Extremely cobbly"|"164311072"|"48660884"
"Very parachannery"|"164311108"|"48660887"
"Parachannery"|"164311109"|"48660888"
"Parachannery"|"164311114"|"48660889"
"Parachannery"|"164311115"|"48660890"
"Very parachannery"|"164311116"|"48660891"
"Gravelly"|"164314050"|"48661769"
"Gravelly"|"164314052"|"48661770"
"Very gravelly"|"164311459"|"48660916"
"Extremely cobbly"|"164311460"|"48660917"
"Very gravelly"|"164311461"|"48660918"
"Gravelly"|"164311484"|"48660921"
"Gravelly"|"164311477"|"48660919"
"Gravelly"|"164311482"|"48660920"
"Gravelly"|"164311504"|"48660922"
"Gravelly"|"164311509"|"48660924"
"Gravelly"|"164311507"|"48660923"
"Cobbly"|"164311545"|"48660925"
"Gravelly"|"164311549"|"48660926"
"Stony"|"164311554"|"48660927"
"Very bouldery"|"164311558"|"48660931"
"Very stony"|"164311559"|"48660932"
"Extremely bouldery"|"164311560"|"48660933"
"Very bouldery"|"164311555"|"48660928"
"Very bouldery"|"164311556"|"48660929"
"Extremely stony"|"164311557"|"48660930"
"Extremely bouldery"|"164311561"|"48660934"
"Extremely bouldery"|"164311562"|"48660935"
"Very bouldery"|"164311563"|"48660936"
"Gravelly"|"164311586"|"48660939"
"Gravelly"|"164311578"|"48660937"
"Gravelly"|"164311579"|"48660938"
"Extremely stony"|"164311592"|"48660943"
"Very bouldery"|"164311591"|"48660942"
"Very bouldery"|"164311590"|"48660941"
"Very bouldery"|"164311596"|"48660947"
"Extremely bouldery"|"164311597"|"48660948"
"Extremely bouldery"|"164311598"|"48660949"
"Stony"|"164311589"|"48660940"
"Very bouldery"|"164311593"|"48660944"
"Very stony"|"164311594"|"48660945"
"Extremely bouldery"|"164311595"|"48660946"
"Very stony"|"164311602"|"48660951"
"Very stony"|"164311601"|"48660950"
"Very bouldery"|"164311620"|"48660961"
"Extremely bouldery"|"164311619"|"48660960"
"Extremely bouldery"|"164311618"|"48660959"
"Very bouldery"|"164311612"|"48660953"
"Very bouldery"|"164311613"|"48660954"
"Extremely stony"|"164311614"|"48660955"
"Very bouldery"|"164311615"|"48660956"
"Very stony"|"164311616"|"48660957"
"Extremely bouldery"|"164311617"|"48660958"
"Stony"|"164311611"|"48660952"
"Very cobbly"|"164311623"|"48660962"
"Very stony"|"164311632"|"48660963"
"Extremely stony"|"164311634"|"48660964"
"Extremely stony"|"164311635"|"48660965"
"Extremely flaggy"|"164311636"|"48660966"
"Extremely stony"|"164311637"|"48660967"
"Extremely cobbly"|"164311644"|"48660968"
"Very gravelly"|"164311645"|"48660969"
"Very gravelly"|"164311646"|"48660970"
"Extremely cobbly"|"164311654"|"48660971"
"Extremely gravelly"|"164311655"|"48660972"
"Very bouldery"|"164314059"|"48661775"
"Very stony"|"164314060"|"48661776"
"Extremely bouldery"|"164314061"|"48661777"
"Stony"|"164314055"|"48661771"
"Very bouldery"|"164314056"|"48661772"
"Very bouldery"|"164314057"|"48661773"
"Extremely stony"|"164314058"|"48661774"
"Extremely bouldery"|"164314062"|"48661778"
"Extremely bouldery"|"164314063"|"48661779"
"Very bouldery"|"164314064"|"48661780"
"Extremely cobbly"|"164314090"|"48661781"
"Very gravelly"|"164314091"|"48661782"
"Very gravelly"|"164314092"|"48661783"
"Gravelly"|"164311672"|"48660974"
"Gravelly"|"164311665"|"48660973"
"Extremely bouldery"|"164311683"|"48660982"
"Extremely bouldery"|"164311684"|"48660983"
"Very bouldery"|"164311685"|"48660984"
"Very bouldery"|"164311677"|"48660976"
"Very bouldery"|"164311678"|"48660977"
"Extremely stony"|"164311679"|"48660978"
"Stony"|"164311676"|"48660975"
"Very bouldery"|"164311680"|"48660979"
"Very stony"|"164311681"|"48660980"
"Extremely bouldery"|"164311682"|"48660981"
"Extremely cobbly"|"164311704"|"48660985"
"Very gravelly"|"164311705"|"48660986"
"Very gravelly"|"164311706"|"48660987"
"Extremely cobbly"|"164311720"|"48660988"
"Very gravelly"|"164311721"|"48660989"
"Very gravelly"|"164311722"|"48660990"
"Very stony"|"164311738"|"48661006"
"Very cobbly"|"164311739"|"48661007"
"Very cobbly"|"164311740"|"48661008"
"Very stony"|"164311723"|"48660991"
"Very cobbly"|"164311724"|"48660992"
"Cobbly"|"164311725"|"48660993"
"Cobbly"|"164311736"|"48661004"
"Cobbly"|"164311737"|"48661005"
"Cobbly"|"164311735"|"48661003"
"Extremely stony"|"164311726"|"48660994"
"Extremely stony"|"164311727"|"48660995"
"Very stony"|"164311728"|"48660996"
"Very stony"|"164311731"|"48660999"
"Extremely stony"|"164311730"|"48660998"
"Extremely stony"|"164311729"|"48660997"
"Extremely stony"|"164311732"|"48661000"
"Extremely stony"|"164311733"|"48661001"
"Very stony"|"164311734"|"48661002"
"Very gravelly"|"164311759"|"48661011"
"Very gravelly"|"164311758"|"48661010"
"Extremely cobbly"|"164311757"|"48661009"
"Extremely cobbly"|"164311763"|"48661012"
"Very cobbly"|"164311764"|"48661013"
"Cobbly"|"164311796"|"48661015"
"Very gravelly"|"164311795"|"48661014"
"Cobbly"|"164311799"|"48661016"
"Very cobbly"|"164311815"|"48661019"
"Very cobbly"|"164311816"|"48661020"
"Extremely cobbly"|"164311817"|"48661021"
"Extremely cobbly"|"164311818"|"48661022"
"Very cobbly"|"164311819"|"48661023"
"Very cobbly"|"164311820"|"48661024"
"Extremely cobbly"|"164311821"|"48661025"
"Very cobbly"|"164311822"|"48661026"
"Cobbly"|"164311812"|"48661017"
"Cobbly"|"164311814"|"48661018"
"Extremely cobbly"|"164311830"|"48661027"
"Very gravelly"|"164311831"|"48661028"
"Very gravelly"|"164311832"|"48661029"
"Cobbly"|"164311848"|"48661030"
"Cobbly"|"164311850"|"48661031"
"Very cobbly"|"164311856"|"48661037"
"Extremely cobbly"|"164311857"|"48661038"
"Very cobbly"|"164311858"|"48661039"
"Extremely cobbly"|"164311854"|"48661035"
"Very cobbly"|"164311855"|"48661036"
"Very cobbly"|"164311851"|"48661032"
"Very cobbly"|"164311852"|"48661033"
"Extremely cobbly"|"164311853"|"48661034"
"Very cobbly"|"164311868"|"48661042"
"Extremely cobbly"|"164311867"|"48661041"
"Extremely cobbly"|"164311866"|"48661040"
"Very gravelly"|"164311878"|"48661043"
"Extremely cobbly"|"164311879"|"48661044"
"Very gravelly"|"164311880"|"48661045"
"Very gravelly"|"164311886"|"48661046"
"Very gravelly"|"164311887"|"48661047"
"Gravelly"|"164311888"|"48661048"
"Gravelly"|"164311890"|"48661049"
"Gravelly"|"164311891"|"48661050"
"Gravelly"|"164311900"|"48661051"
"Stony"|"164311901"|"48661052"
"Very bouldery"|"164311905"|"48661056"
"Very stony"|"164311906"|"48661057"
"Extremely bouldery"|"164311907"|"48661058"
"Very bouldery"|"164311902"|"48661053"
"Very bouldery"|"164311903"|"48661054"
"Extremely stony"|"164311904"|"48661055"
"Very bouldery"|"164311908"|"48661059"
"Extremely bouldery"|"164311909"|"48661060"
"Extremely bouldery"|"164311910"|"48661061"
"Cobbly"|"164311919"|"48661062"
"Gravelly"|"164311923"|"48661063"
"Extremely cobbly"|"164311934"|"48661064"
"Very gravelly"|"164311935"|"48661065"
"Very gravelly"|"164311936"|"48661066"
"Cobbly"|"164311948"|"48661069"
"Very gravelly"|"164311945"|"48661067"
"Cobbly"|"164311946"|"48661068"
"Gravelly"|"164311952"|"48661070"
"Gravelly"|"164311961"|"48661071"
"Very stony"|"164311983"|"48661072"
"Very stony"|"164311986"|"48661073"
"Gravelly"|"164311998"|"48661074"
"Gravelly"|"164312001"|"48661076"
"Gravelly"|"164311999"|"48661075"
"Gravelly"|"164312015"|"48661078"
"Gravelly"|"164312006"|"48661077"
"Cobbly"|"164312019"|"48661079"
"Gravelly"|"164312021"|"48661080"
"Gravelly"|"164312057"|"48661081"
"Gravelly"|"164312061"|"48661083"
"Gravelly"|"164312059"|"48661082"
"Gravelly"|"164312083"|"48661084"
"Gravelly"|"164312085"|"48661085"
"Extremely cobbly"|"164312092"|"48661086"
"Very gravelly"|"164312093"|"48661087"
"Very gravelly"|"164312094"|"48661088"
"Very cobbly"|"164312118"|"48661098"
"Cobbly"|"164312119"|"48661099"
"Cobbly"|"164312120"|"48661100"
"Very cobbly"|"164312109"|"48661089"
"Very cobbly"|"164312110"|"48661090"
"Very gravelly"|"164312117"|"48661097"
"Very cobbly"|"164312114"|"48661094"
"Very cobbly"|"164312115"|"48661095"
"Very gravelly"|"164312116"|"48661096"
"Very gravelly"|"164312113"|"48661093"
"Very cobbly"|"164312112"|"48661092"
"Very cobbly"|"164312111"|"48661091"
"Very gravelly"|"164312137"|"48661107"
"Gravelly"|"164312136"|"48661106"
"Gravelly"|"164312135"|"48661105"
"Extremely stony"|"164312138"|"48661108"
"Very stony"|"164312139"|"48661109"
"Very stony"|"164312140"|"48661110"
"Extremely stony"|"164312141"|"48661111"
"Very stony"|"164312142"|"48661112"
"Very stony"|"164312143"|"48661113"
"Very gravelly"|"164312134"|"48661104"
"Very cobbly"|"164312131"|"48661101"
"Very cobbly"|"164312132"|"48661102"
"Very stony"|"164312133"|"48661103"
"Very stony"|"164312159"|"48661116"
"Very stony"|"164312160"|"48661117"
"Extremely stony"|"164312161"|"48661118"
"Extremely stony"|"164312162"|"48661119"
"Cobbly"|"164312157"|"48661114"
"Cobbly"|"164312158"|"48661115"
"Extremely cobbly"|"164312174"|"48661120"
"Very gravelly"|"164312175"|"48661121"
"Very gravelly"|"164312176"|"48661122"
"Extremely stony"|"164312185"|"48661130"
"Very stony"|"164312186"|"48661131"
"Extremely stony"|"164312187"|"48661132"
"Extremely stony"|"164312188"|"48661133"
"Very stony"|"164312189"|"48661134"
"Very stony"|"164312190"|"48661135"
"Very cobbly"|"164312181"|"48661126"
"Gravelly"|"164312182"|"48661127"
"Gravelly"|"164312183"|"48661128"
"Very gravelly"|"164312184"|"48661129"
"Very cobbly"|"164312178"|"48661123"
"Very cobbly"|"164312179"|"48661124"
"Very stony"|"164312180"|"48661125"
"Extremely stony"|"164312224"|"48661136"
"Very stony"|"164312225"|"48661137"
"Very stony"|"164312226"|"48661138"
"Extremely stony"|"164312227"|"48661139"
"Very stony"|"164312228"|"48661140"
"Very stony"|"164312229"|"48661141"
"Very gravelly"|"164312233"|"48661145"
"Very cobbly"|"164312230"|"48661142"
"Gravelly"|"164312231"|"48661143"
"Gravelly"|"164312232"|"48661144"
"Very cobbly"|"164312234"|"48661146"
"Very cobbly"|"164312235"|"48661147"
"Very stony"|"164312236"|"48661148"
"Gravelly"|"164312254"|"48661150"
"Gravelly"|"164312247"|"48661149"
"Gravelly"|"164312289"|"48661152"
"Gravelly"|"164312280"|"48661151"
"Cobbly"|"164312311"|"48661166"
"Cobbly"|"164312312"|"48661167"
"Very stony"|"164312298"|"48661153"
"Very cobbly"|"164312299"|"48661154"
"Cobbly"|"164312300"|"48661155"
"Very stony"|"164312313"|"48661168"
"Very cobbly"|"164312314"|"48661169"
"Very cobbly"|"164312315"|"48661170"
"Extremely stony"|"164312301"|"48661156"
"Extremely stony"|"164312302"|"48661157"
"Very stony"|"164312303"|"48661158"
"Very stony"|"164312306"|"48661161"
"Extremely stony"|"164312305"|"48661160"
"Extremely stony"|"164312304"|"48661159"
"Extremely stony"|"164312307"|"48661162"
"Extremely stony"|"164312308"|"48661163"
"Very stony"|"164312309"|"48661164"
"Cobbly"|"164312310"|"48661165"
"Extremely cobbly"|"164312322"|"48661171"
"Very gravelly"|"164312323"|"48661172"
"Very gravelly"|"164312324"|"48661173"
"Cobbly"|"164312348"|"48661186"
"Extremely stony"|"164312342"|"48661180"
"Extremely stony"|"164312343"|"48661181"
"Very stony"|"164312344"|"48661182"
"Extremely stony"|"164312345"|"48661183"
"Extremely stony"|"164312346"|"48661184"
"Very stony"|"164312347"|"48661185"
"Extremely stony"|"164312339"|"48661177"
"Extremely stony"|"164312340"|"48661178"
"Very stony"|"164312341"|"48661179"
"Very stony"|"164312336"|"48661174"
"Very cobbly"|"164312337"|"48661175"
"Cobbly"|"164312338"|"48661176"
"Very stony"|"164312351"|"48661189"
"Very cobbly"|"164312352"|"48661190"
"Very cobbly"|"164312353"|"48661191"
"Cobbly"|"164312349"|"48661187"
