station,gravity_final_mgal,elevation_m,latitude,longitude,free_air_correction_mgal,bouguer_correction_mgal,gravity_tied_mgal,instrument,gps_longitude,gps_latitude,gps_elevation_m,easting_m,northing_m,dem_elevation_m_at_station_raw,dem_vertical_shift_m,dem_elevation_m_at_station,gps_minus_dem_elevation_m,obs_height_used_m,harmonica_topography_effect_mgal,gravity_harmonica_lidar_corrected_mgal
1.0,0.5893142506463243,2112.468,40.47866586,-106.83549494,0.8032858000000201,0.2914139193000073,0.0774423699463113,CG5-2,-106.83549494,40.47866586,2112.468,344418.05885412626,4482504.652252167,2124.4612842383904,-12.54840576635479,2111.9128784720356,0.5551215279642747,2112.718,-0.32887010079547024,1.2095982707418016
2.0,0.4239915715257628,2112.006,40.47867525,-106.83549789,0.6607126000000235,0.2396915871000085,0.0029705586257477,CG5-2,-106.83549789,40.47867525,2112.006,344417.83047542145,4482505.699822662,2124.390225492306,-12.54840576635479,2111.841819725951,0.16418027404870372,2112.256,-0.31861569009041557,0.9822988487161868
3.0,0.4232299722906466,2111.569,40.47868384,-106.83550036,0.525854400000055,0.1907680824000199,0.0881436546906115,CG5-2,-106.83550036,40.47868384,2111.569,344417.64093765186,4482506.657740033,2124.3227143445297,-12.54840576635479,2111.774308578175,-0.20530857817493597,2111.819,-0.3509423146697214,0.964940369360388
4.0,0.458691717014218,2111.692,40.4786922,-106.835503,0.5638122000000696,0.2045383137000252,0.0994178307141737,CG5-2,-106.835503,40.4786922,2111.692,344417.43645829364,4482507.590425285,2124.25669220697,-12.54840576635479,2111.708286440615,-0.0162864406152039,2111.942,-0.3553917522377502,1.0186217829519935
5.0,0.5075169606247298,2111.862,40.47870173,-106.83550428,0.616274200000092,0.2235703407000334,0.1148131013246711,CG5-2,-106.83550428,40.47870173,2111.862,344417.3499648378,4482508.65059198,2124.173363974867,-12.54840576635479,2111.624958208512,0.2370417914880818,2112.112,-0.3658418148016946,1.0969291161264578
6.0,0.5021486619325879,2111.79,40.47871137,-106.83550629,0.5940550000000561,0.2155097175000203,0.1236033794325521,CG5-2,-106.83550629,40.47871137,2111.79,344417.20184518915,4482509.72425693,2124.092587996279,-12.54840576635479,2111.544182229924,0.24581777007597339,2112.04,-0.3701398087897004,1.0877981882223084
7.0,0.4127672282957464,2111.286,40.47872081,-106.8355082,0.4385206000000853,0.1590853551000309,0.133331983395692,CG5-2,-106.8355082,40.47872081,2111.286,344417.0617404522,4482510.7755438695,2124.0192405709818,-12.54840576635479,2111.470834804627,-0.1848348046269166,2111.536,-0.3738724020341045,0.9457249854298817
8.0,0.4022819725287107,2111.152,40.4787299,-106.83551187,0.3971682000000808,0.1440836397000293,0.1491974122286592,CG5-2,-106.83551187,40.4787299,2111.152,344416.77163672505,4482511.791081617,2123.9541591828,-12.54840576635479,2111.4057534164454,-0.25375341644530636,2111.402,-0.40114016394545926,0.9475057761741993
9.0,0.4284276662343449,2111.213,40.47873782,-106.83551224,0.4159928000001268,0.150912778800046,0.1633476450342641,CG5-2,-106.83551224,40.47873782,2111.213,344416.7585636171,4482512.670920141,2123.888064037832,-12.54840576635479,2111.339658271477,-0.12665827147702657,2111.463,-0.40462872721239235,0.9839691722467832
10.0,0.4297410325692206,2111.151,40.47874712,-106.83551337,0.3968596000000179,0.1439716866000065,0.1768531191692091,CG5-2,-106.83551337,40.47874712,2111.151,344416.6842543066,4482513.705290417,2123.812516124699,-12.54840576635479,2111.264110358344,-0.11311035834432914,2111.401,-0.40852758147201,0.982240300641237
