station,lat,lon,elev_m,grav_mean,grav_dc,grav_rel,FAC,FAA,instrument,n,grav_std,datetime_mid,easting,northing,station_m,elevation_m,gravity_tied_mgal,free_air_correction_mgal,reference_elevation_m,obs_height_used_m,harmonica_gz_mgal,gravity_free_air_only_mgal,harmonica_gz_relative_mgal,corrected_add_rel_mgal,corrected_subtract_rel_mgal,gravity_harmonica_lidar_corrected_mgal,dem_x,dem_y,dem_x_fixed_line,dem_y_fixed_line,dem_elevation_m_raw_fixed_line,dem_elevation_m_fixed,gps_minus_dem_fixed_m,elevation_m_original,elevation_m_fixed_dem,height_above_reference_m,bouguer_correction_mgal,gravity_simple_bouguer_corrected_mgal,elev_m_original
1.0,40.4787,-106.8355,2111.5461,3891.8183,3891.8184,0.0162,0.49507096,651.9238,41422,3,0.0012,2026-05-27 12:32:56.666666,344417.7087744084,4482508.4509999165,1.0,2112.468,0.0162,651.9076,2109.942,2112.718,-1.3003466518887183,0.5112709640979767,0.1873621373960543,652.111162137396,0.32390882670192234,0.32390882670192234,2628495.2593419235,1420028.4139419803,2628495.2593419235,1420028.4139419803,2124.1094,2111.5461,0.9218574218748472,2112.468,2111.5461,1.604248,0.17960055,0.3316704123735428,2111.5461
3.0,40.4787,-106.8355,2111.4756,3891.8427,3891.8428,0.0406,0.47329718,651.6708,41422,3,0.0023,2026-05-27 12:42:05.666666,344417.7087744084,4482508.4509999165,3.0,2111.569,0.0406,651.6302,2109.942,2111.819,-1.4767699935808336,0.5138971787452697,0.010938795703939,651.681738795704,0.5029583830413308,0.5029583830413308,2628495.2593419235,1420028.4139419803,2628493.3509005858,1420033.6476138216,2124.0388,2111.4756,0.09341406249995998,2111.569,2111.4756,1.5336914,0.1717015,0.3421956729650497,2111.4756
4.0,40.4787,-106.8355,2111.4346,3891.865,3891.8652,0.063,0.46063974,651.7311,41422,3,0.002,2026-05-27 12:54:13.666666,344417.7087744084,4482508.4509999165,4.0,2111.692,0.063,651.6682,2109.942,2111.942,-1.45260668139718,0.5236397449970245,0.0351021078875926,651.7663021078876,0.4885376371094319,0.4885376371094319,2628495.2593419235,1420028.4139419803,2628492.3966799174,1420036.264449742,2123.9978,2111.4346,0.2574296875000073,2111.692,2111.4346,1.4926758,0.16710968,0.356530061841011,2111.4346
5.0,40.4787,-106.8355,2111.3806,3891.8853,3891.8855,0.0833,0.44398922,651.804,41422,3,0.0065,2026-05-27 12:59:38.666666,344417.7087744084,4482508.4509999165,5.0,2111.862,0.0833,651.7206,2109.942,2112.112,-1.4192234975961855,0.5272892172813416,0.0684852916885871,651.8723852916886,0.4588039255927545,0.4588039255927545,2628495.2593419235,1420028.4139419803,2628491.4424592485,1420038.8812856625,2123.9438,2111.3806,0.48138476562508004,2111.862,2111.3806,1.4387207,0.16106924,0.36621997313499455,2111.3806
6.0,40.4787,-106.8355,2111.3364,3891.8993,3891.8996,0.0974,0.43035236,651.7958,41422,3,0.0031,2026-05-27 13:05:21.666666,344417.7087744084,4482508.4509999165,6.0,2111.79,0.0974,651.6984,2109.942,2112.04,-1.4333603815677671,0.5277523600101471,0.0543484077170055,651.850148407717,0.47340395229314164,0.47340395229314164,2628495.2593419235,1420028.4139419803,2628490.4882385796,1420041.4981215831,2123.8997,2111.3364,0.4535742187499636,2111.79,2111.3364,1.3945312,0.1561221,0.37163025667667393,2111.3364
7.0,40.4787,-106.8355,2111.2737,3891.914,3891.9143,0.1121,0.41098952,651.6549,41422,3,0.0026,2026-05-27 13:10:46.666666,344417.7087744084,4482508.4509999165,7.0,2111.286,0.1121,651.5429,2109.942,2111.536,-1.5323959572911483,0.5230895229339599,-0.0446871680063758,651.6103128319937,0.5677766909403358,0.5677766909403358,2628495.2593419235,1420028.4139419803,2628489.5340179107,1420044.1149575037,2123.837,2111.2737,0.012318359375058208,2111.286,2111.2737,1.3317871,0.1490977,0.3739918269872665,2111.2737
8.0,40.4787,-106.8355,2111.2446,3891.9357,3891.936,0.1338,0.40202385,651.6353,41422,3,0.0025,2026-05-27 13:17:08.666666,344417.7087744084,4482508.4509999165,8.0,2111.152,0.1338,651.5015,2109.942,2111.402,-1.5587497242519124,0.5358238518714905,-0.0710409349671397,651.5642590650327,0.6068647868386302,0.6068647868386302,2628495.2593419235,1420028.4139419803,2628488.579797242,1420046.7317934243,2123.8079,2111.2446,-0.09262890624995634,2111.152,2111.2446,1.3027344,0.14584516,0.389978691983223,2111.2446
9.0,40.4787,-106.8355,2111.2625,3891.9553,3891.9557,0.1535,0.40752378,651.6738,41422,3,0.0015,2026-05-27 13:23:11.666666,344417.7087744084,4482508.4509999165,9.0,2111.213,0.1535,651.5203,2109.942,2111.463,-1.5467516651819897,0.5610237810611725,-0.0590428758972167,651.6147571241028,0.6200666569583891,0.6200666569583891,2628495.2593419235,1420028.4139419803,2628487.625576573,1420049.348629345,2123.8257,2111.2625,-0.04945117187480719,2111.213,2111.2625,1.3205566,0.14784041,0.41318337059020993,2111.2625
10.0,40.4787,-106.8355,2111.255,3891.9743,3891.9747,0.1725,0.4051882,651.6737,41422,3,0.0006,2026-05-27 13:29:13.666666,344417.7087744084,4482508.4509999165,10.0,2111.151,0.1725,651.5012,2109.942,2111.401,-1.55894643039767,0.5776882028579712,-0.0712376411128974,651.6024623588871,0.6489258439708686,0.6489258439708686,2628495.2593419235,1420028.4139419803,2628486.6713559045,1420051.9654652653,2123.818,2111.255,-0.10388281250016007,2111.151,2111.255,1.3129883,0.14699312,0.430695087313652,2111.255
11.0,40.4788,-106.8355,2111.1765,3891.988,3891.9884,0.1862,0.38100347,651.646,41422,3,0.0026,2026-05-27 13:33:56.666666,344417.93971805216,4482519.55183374,11.0,2111.017,0.1862,651.4598,2109.942,2111.267,-1.4913925671425552,0.5672034692287445,-0.0036837778577825,651.6423162221422,0.570887247086527,0.570887247086527,2628495.80798566,1420064.8401613522,2628485.7171352357,1420054.582301186,2123.7397,2111.1765,-0.15951367187517462,2111.017,2111.1765,1.2346191,0.13821945,0.42898402328491214,2111.1765
