station,lat,lon,elev_m,grav_mean,grav_dc,grav_rel,FAC,FAA,instrument,n,grav_std,datetime_mid,easting,northing,station_m,elevation_m,gravity_tied_mgal,free_air_correction_mgal,reference_elevation_m,obs_height_used_m,harmonica_gz_mgal,gravity_free_air_only_mgal,harmonica_gz_relative_mgal,corrected_add_rel_mgal,corrected_subtract_rel_mgal,gravity_harmonica_lidar_corrected_mgal
1.0,40.4787,-106.8355,2112.468,3891.8183,3891.8184,0.0162,651.9076,651.9238,41422,3,0.0012,2026-05-27 12:32:56.666666,344417.7087744084,4482508.4509999165,1.0,2112.468,0.0162,651.9076,2110.8293125,2112.718,-1.3003466518887183,651.9238,0.18736213739605434,652.111162137396,651.736437862604,651.736437862604
3.0,40.4787,-106.8355,2111.569,3891.8427,3891.8428,0.0406,651.6302,651.6708,41422,3,0.0023,2026-05-27 12:42:05.666666,344417.7087744084,4482508.4509999165,3.0,2111.569,0.0406,651.6302,2110.8293125,2111.819,-1.4767699935808336,651.6708,0.010938795703939075,651.681738795704,651.659861204296,651.659861204296
4.0,40.4787,-106.8355,2111.692,3891.865,3891.8652,0.063,651.6682,651.7311,41422,3,0.002,2026-05-27 12:54:13.666666,344417.7087744084,4482508.4509999165,4.0,2111.692,0.063,651.6682,2110.8293125,2111.942,-1.45260668139718,651.7312,0.035102107887592604,651.7663021078876,651.6960978921123,651.6960978921123
5.0,40.4787,-106.8355,2111.862,3891.8853,3891.8855,0.0833,651.7206,651.804,41422,3,0.0065,2026-05-27 12:59:38.666666,344417.7087744084,4482508.4509999165,5.0,2111.862,0.0833,651.7206,2110.8293125,2112.112,-1.4192234975961855,651.8039,0.06848529168858719,651.8723852916886,651.7354147083114,651.7354147083114
6.0,40.4787,-106.8355,2111.79,3891.8993,3891.8996,0.0974,651.6984,651.7958,41422,3,0.0031,2026-05-27 13:05:21.666666,344417.7087744084,4482508.4509999165,6.0,2111.79,0.0974,651.6984,2110.8293125,2112.04,-1.4333603815677671,651.7958,0.054348407717005554,651.850148407717,651.7414515922829,651.7414515922829
7.0,40.4787,-106.8355,2111.286,3891.914,3891.9143,0.1121,651.5429,651.6549,41422,3,0.0026,2026-05-27 13:10:46.666666,344417.7087744084,4482508.4509999165,7.0,2111.286,0.1121,651.5429,2110.8293125,2111.536,-1.5323959572911485,651.6550000000001,-0.044687168006375844,651.6103128319937,651.6996871680064,651.6996871680064
8.0,40.4787,-106.8355,2111.152,3891.9357,3891.936,0.1338,651.5015,651.6353,41422,3,0.0025,2026-05-27 13:17:08.666666,344417.7087744084,4482508.4509999165,8.0,2111.152,0.1338,651.5015,2110.8293125,2111.402,-1.5587497242519124,651.6352999999999,-0.0710409349671397,651.5642590650327,651.7063409349671,651.7063409349671
9.0,40.4787,-106.8355,2111.213,3891.9553,3891.9557,0.1535,651.5203,651.6738,41422,3,0.0015,2026-05-27 13:23:11.666666,344417.7087744084,4482508.4509999165,9.0,2111.213,0.1535,651.5203,2110.8293125,2111.463,-1.5467516651819895,651.6738,-0.059042875897216796,651.6147571241028,651.7328428758973,651.7328428758973
10.0,40.4787,-106.8355,2111.151,3891.9743,3891.9747,0.1725,651.5012,651.6737,41422,3,0.0006,2026-05-27 13:29:13.666666,344417.7087744084,4482508.4509999165,10.0,2111.151,0.1725,651.5012,2110.8293125,2111.401,-1.5589464303976701,651.6737,-0.07123764111289743,651.6024623588871,651.744937641113,651.744937641113
11.0,40.4788,-106.8355,2111.017,3891.988,3891.9884,0.1862,651.4598,651.646,41422,3,0.0026,2026-05-27 13:33:56.666666,344417.93971805216,4482519.5518337395,11.0,2111.017,0.1862,651.4598,2110.8293125,2111.267,-1.4913925671425552,651.646,-0.003683777857782511,651.6423162221422,651.6496837778577,651.6496837778577
12.0,40.4788,-106.8355,2110.432,3892.0,3892.0004,0.1982,651.2793,651.4775,41422,3,0.0026,2026-05-27 13:37:35.666666,344417.93971805216,4482519.5518337395,12.0,2110.432,0.1982,651.2793,2110.8293125,2110.682,-1.5724171583671223,651.4775000000001,-0.08470836908234958,651.3927916309177,651.5622083690824,651.5622083690824
12.5,40.4788,-106.8355,2110.407,3892.0568,3892.0575,0.2553,651.2716,651.5269,41422,5,0.0019,2026-05-27 14:32:05.400000,344417.93971805216,4482519.5518337395,12.5,2110.407,0.2553,651.2716,2110.8293125,2110.657,-1.5716963594106121,651.5269000000001,-0.08398757012583946,651.4429124298742,651.6108875701259,651.6108875701259
13.0,40.4788,-106.8355,2110.634,3892.0173,3892.0178,0.2156,651.3417,651.5572,41422,3,0.0012,2026-05-27 13:42:04.666666,344417.93971805216,4482519.5518337395,13.0,2110.634,0.2156,651.3417,2110.8293125,2110.884,-1.5660104722216965,651.5572999999999,-0.07830168293692386,651.478998317063,651.6356016829369,651.6356016829369
13.5,40.4788,-106.8355,2110.257,3892.0603,3892.061,0.2588,651.2253,651.4841,41422,3,0.0012,2026-05-27 14:23:23.666666,344417.93971805216,4482519.5518337395,13.5,2110.257,0.2588,651.2253,2110.8293125,2110.507,-1.5673806265343329,651.4840999999999,-0.07967183724956017,651.4044281627504,651.5637718372494,651.5637718372494
14.0,40.4788,-106.8355,2111.519,3892.033,3892.0335,0.2313,651.6148,651.846,41422,3,0.001,2026-05-27 13:46:13.666666,344417.93971805216,4482519.5518337395,14.0,2111.519,0.2313,651.6148,2110.8293125,2111.769,-1.3937443328993997,651.8461,0.09396445638537299,651.9400644563854,651.7521355436146,651.7521355436146
14.5,40.4788,-106.8355,2111.614,3892.0575,3892.0581,0.2559,651.6441,651.9,41422,10,0.0106,2026-05-27 14:09:04.300000,344417.93971805216,4482519.5518337395,14.5,2111.614,0.2559,651.6441,2110.8293125,2111.864,-1.3752847277879956,651.9,0.11242406149677708,652.0124240614967,651.7875759385032,651.7875759385032
15.0,40.4788,-106.8355,2111.399,3892.0637,3892.0641,0.262,651.5777,651.8397,41422,3,0.0006,2026-05-27 13:50:07.666666,344417.93971805216,4482519.5518337395,15.0,2111.399,0.262,651.5777,2110.8293125,2111.649,-1.4170706634218992,651.8397,0.07063812586287344,651.9103381258628,651.7690618741372,651.7690618741372
15.0,40.4788,-106.8355,2111.399,3705.312,3892.0641,0.262,651.5777,651.8397,40353,8,0.0125,2026-05-27 12:37:40.625000,344417.93971805216,4482519.5518337395,15.0,2111.399,0.262,651.5777,2110.8293125,2111.649,-1.4170706634218992,651.8397,0.07063812586287344,651.9103381258628,651.7690618741372,651.7690618741372
15.5,40.4788,-106.8355,2111.149,3705.3897,3892.1765,0.3743,651.5006,651.8749,40353,3,0.004,2026-05-27 14:11:41.666666,344417.93971805216,4482519.5518337395,15.5,2111.149,0.3743,651.5006,2110.8293125,2111.399,-1.465699223422641,651.8748999999999,0.022009565862131764,651.8969095658621,651.8528904341377,651.8528904341377
17.0,40.4788,-106.8355,2110.823,3705.3593,3892.1148,0.3126,651.4,651.7126,40353,3,0.0025,2026-05-27 12:46:43.666666,344417.93971805216,4482519.5518337395,17.0,2110.823,0.3126,651.4,2110.8293125,2111.073,-1.5291758936841844,651.7126,-0.0414671043994117,651.6711328956005,651.7540671043994,651.7540671043994
18.0,40.4788,-106.8355,2110.624,3705.4037,3892.1616,0.3594,651.3386,651.6979,40353,3,0.0025,2026-05-27 12:53:16.666666,344417.93971805216,4482519.5518337395,18.0,2110.624,0.3594,651.3386,2110.8293125,2110.874,-1.567960079968843,651.6980000000001,-0.08025129068407022,651.6177487093161,651.7782512906841,651.7782512906841
19.0,40.4788,-106.8355,2110.077,3705.4347,3892.1945,0.3923,651.1698,651.5621,40353,3,0.0025,2026-05-27 12:58:34.666666,344417.93971805216,4482519.5518337395,19.0,2110.077,0.3923,651.1698,2110.8293125,2110.327,-1.5622222320021357,651.5621,-0.07451344271736304,651.4875865572826,651.6366134427174,651.6366134427174
20.0,40.4788,-106.8355,2110.281,3705.4313,3892.1931,0.3909,651.2327,651.6236,40353,3,0.0006,2026-05-27 13:03:45.666666,344417.93971805216,4482519.5518337395,20.0,2110.281,0.3909,651.2327,2110.8293125,2110.531,-1.5680701003687731,651.6236,-0.08036131108400046,651.5432386889161,651.703961311084,651.703961311084
21.0,40.4788,-106.8355,2110.418,3705.4623,3892.2258,0.4237,651.275,651.6987,40353,3,0.0006,2026-05-27 13:08:30.666666,344417.93971805216,4482519.5518337395,21.0,2110.418,0.4237,651.275,2110.8293125,2110.668,-1.572013457773717,651.6987,-0.08430466848894436,651.6143953315111,651.783004668489,651.783004668489
22.0,40.4789,-106.8355,2109.898,3705.4763,3892.2413,0.4391,651.1145,651.5536,40353,3,0.0021,2026-05-27 13:12:28.666666,344418.17066217173,4482530.652667736,22.0,2109.898,0.4391,651.1145,2110.8293125,2110.148,-1.4478435386399302,651.5536000000001,0.039865250644842476,651.593465250645,651.5137347493552,651.5137347493552
23.0,40.4789,-106.8355,2109.905,3705.5073,3892.2739,0.4717,651.1167,651.5884,40353,3,0.0025,2026-05-27 13:16:51.666666,344418.17066217173,4482530.652667736,23.0,2109.905,0.4717,651.1167,2110.8293125,2110.155,-1.4480530320173994,651.5884000000001,0.03965575726737325,651.6280557572675,651.5487442427327,651.5487442427327
24.0,40.4789,-106.8355,2109.993,3705.5127,3892.2813,0.4791,651.1438,651.6229,40353,3,0.0029,2026-05-27 13:22:18.666666,344418.17066217173,4482530.652667736,24.0,2109.993,0.4791,651.1438,2110.8293125,2110.243,-1.450690318682578,651.6229000000001,0.037018470602194764,651.6599184706023,651.5858815293979,651.5858815293979
25.0,40.4789,-106.8355,2110.27,3705.5257,3892.2962,0.494,651.2293,651.7233,40353,3,0.0047,2026-05-27 13:27:32.666666,344418.17066217173,4482530.652667736,25.0,2110.27,0.494,651.2293,2110.8293125,2110.52,-1.4590361245702563,651.7233,0.02867266471451635,651.7519726647145,651.6946273352855,651.6946273352855
26.0,40.4789,-106.8355,2110.143,3705.543,3892.3153,0.5131,651.1901,651.7033,40353,3,0.0069,2026-05-27 13:32:25.666666,344418.17066217173,4482530.652667736,26.0,2110.143,0.5131,651.1901,2110.8293125,2110.393,-1.4552013363253344,651.7032,0.03250745295943824,651.7357074529594,651.6706925470406,651.6706925470406
27.0,40.4789,-106.8355,2110.327,3705.549,3892.3239,0.5217,651.2469,651.7686,40353,3,0.001,2026-05-27 13:39:23.666666,344418.17066217173,4482530.652667736,27.0,2110.327,0.5217,651.2469,2110.8293125,2110.577,-1.4607618711481218,651.7686,0.026946918136650844,651.7955469181367,651.7416530818633,651.7416530818633
28.0,40.4789,-106.8355,2109.904,3705.5987,3892.3761,0.5739,651.1164,651.6903,40353,3,0.0021,2026-05-27 13:46:18.666666,344418.17066217173,4482530.652667736,28.0,2109.904,0.5739,651.1164,2110.8293125,2110.154,-1.4480231017709102,651.6903,0.03968568751386248,651.7299856875138,651.6506143124861,651.6506143124861
29.0,40.4789,-106.8356,2109.865,3705.6267,3892.4061,0.604,651.1043,651.7083,40353,3,0.0136,2026-05-27 13:51:48.666666,344409.69393728493,4482530.829019284,29.0,2109.865,0.604,651.1043,2110.8293125,2110.115,-1.5207123923769819,651.7083,-0.03300360309220918,651.6752963969078,651.7413036030922,651.7413036030922
