Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
29,,,,,,,-106.83555158,40.47891131,2109.865,Global,0.083,0.073,0.201,0.111,1.934,m,SINGLE,RTK,2026-05-27 13:08:06.6 UTC-06:00,2026-05-27 13:08:11.6 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
28,,,,,,,-106.83554897,40.47890422,2109.904,Global,0.090,0.075,0.212,0.117,1.934,m,SINGLE,RTK,2026-05-27 13:08:49.8 UTC-06:00,2026-05-27 13:08:54.8 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
27,,,,,,,-106.83554761,40.47889622,2110.327,Global,0.089,0.075,0.210,0.117,1.934,m,SINGLE,RTK,2026-05-27 13:13:47.4 UTC-06:00,2026-05-27 13:13:52.4 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
26,,,,,,,-106.83554613,40.47888756,2110.143,Global,0.089,0.074,0.209,0.115,1.934,m,SINGLE,RTK,2026-05-27 13:14:06.2 UTC-06:00,2026-05-27 13:14:11.2 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
25,,,,,,,-106.83554295,40.47887795,2110.270,Global,0.091,0.075,0.212,0.118,1.934,m,SINGLE,RTK,2026-05-27 13:14:37.0 UTC-06:00,2026-05-27 13:14:42.0 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
24,,,,,,,-106.83554226,40.47886807,2109.993,Global,0.092,0.077,0.220,0.120,1.934,m,SINGLE,RTK,2026-05-27 13:15:16.2 UTC-06:00,2026-05-27 13:15:21.2 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
22,,,,,,,-106.83553779,40.47885295,2109.898,Global,0.100,0.080,0.252,0.128,1.934,m,SINGLE,RTK,2026-05-27 13:22:37.2 UTC-06:00,2026-05-27 13:22:42.2 UTC-06:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
20,,,,,,,-106.83553229,40.47883530,2110.281,Global,0.102,0.083,0.271,0.132,1.934,m,SINGLE,RTK,2026-05-27 13:23:50.4 UTC-06:00,2026-05-27 13:23:55.4 UTC-06:00,26,1.1,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
19,,,,,,,-106.83553107,40.47882589,2110.077,Global,0.099,0.084,0.260,0.130,1.934,m,SINGLE,RTK,2026-05-27 13:24:10.2 UTC-06:00,2026-05-27 13:24:15.2 UTC-06:00,26,1.1,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
18,,,,,,,-106.83553174,40.47881475,2110.624,Global,0.096,0.080,0.250,0.125,1.934,m,SINGLE,RTK,2026-05-27 13:24:44.0 UTC-06:00,2026-05-27 13:24:49.0 UTC-06:00,26,1.1,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
17,,,,,,,-106.83552801,40.47880759,2110.823,Global,0.100,0.085,0.260,0.131,1.934,m,SINGLE,RTK,2026-05-27 13:25:21.8 UTC-06:00,2026-05-27 13:25:26.8 UTC-06:00,26,1.1,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
16,,,,,,,-106.83552590,40.47880082,2110.686,Global,0.100,0.086,0.271,0.132,1.934,m,SINGLE,RTK,2026-05-27 13:25:47.4 UTC-06:00,2026-05-27 13:25:52.4 UTC-06:00,26,1.1,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
15,,,,,,,-106.83552433,40.47879099,2111.399,Global,0.100,0.087,0.265,0.133,1.934,m,SINGLE,RTK,2026-05-27 13:26:10.0 UTC-06:00,2026-05-27 13:26:15.0 UTC-06:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
14,,,,,,,-106.83552282,40.47877959,2111.519,Global,0.099,0.081,0.256,0.128,1.934,m,SINGLE,RTK,2026-05-27 13:26:35.0 UTC-06:00,2026-05-27 13:26:40.0 UTC-06:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
13,,,,,,,-106.83551990,40.47877179,2110.634,Global,0.099,0.087,0.285,0.131,1.934,m,SINGLE,RTK,2026-05-27 13:27:08.2 UTC-06:00,2026-05-27 13:27:13.2 UTC-06:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
12,,,,,,,-106.83551822,40.47876280,2110.432,Global,0.098,0.084,0.270,0.129,1.934,m,SINGLE,RTK,2026-05-27 13:27:30.0 UTC-06:00,2026-05-27 13:27:35.0 UTC-06:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
11,,,,,,,-106.83551551,40.47875538,2111.017,Global,0.096,0.084,0.262,0.128,1.934,m,SINGLE,RTK,2026-05-27 13:28:01.0 UTC-06:00,2026-05-27 13:28:06.0 UTC-06:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
10,,,,,,,-106.83551337,40.47874712,2111.151,Global,0.098,0.081,0.242,0.127,1.934,m,SINGLE,RTK,2026-05-27 13:31:17.0 UTC-06:00,2026-05-27 13:31:22.0 UTC-06:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
9,,,,,,,-106.83551224,40.47873782,2111.213,Global,0.100,0.085,0.270,0.132,1.934,m,SINGLE,RTK,2026-05-27 13:31:35.8 UTC-06:00,2026-05-27 13:31:40.8 UTC-06:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
8,,,,,,,-106.83551187,40.47872990,2111.152,Global,0.100,0.085,0.266,0.132,1.934,m,SINGLE,RTK,2026-05-27 13:31:53.2 UTC-06:00,2026-05-27 13:31:58.2 UTC-06:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
7,,,,,,,-106.83550820,40.47872081,2111.286,Global,0.099,0.084,0.254,0.129,1.934,m,SINGLE,RTK,2026-05-27 13:32:11.6 UTC-06:00,2026-05-27 13:32:16.6 UTC-06:00,26,1.1,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
6,,,,,,,-106.83550629,40.47871137,2111.790,Global,0.100,0.082,0.252,0.130,1.934,m,SINGLE,RTK,2026-05-27 13:32:28.8 UTC-06:00,2026-05-27 13:32:33.8 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
5,,,,,,,-106.83550428,40.47870173,2111.862,Global,0.100,0.086,0.267,0.132,1.934,m,SINGLE,RTK,2026-05-27 13:32:46.0 UTC-06:00,2026-05-27 13:32:51.0 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
4,,,,,,,-106.83550300,40.47869220,2111.692,Global,0.097,0.083,0.259,0.127,1.934,m,SINGLE,RTK,2026-05-27 13:33:07.6 UTC-06:00,2026-05-27 13:33:12.6 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
3,,,,,,,-106.83550036,40.47868384,2111.569,Global,0.100,0.084,0.266,0.130,1.934,m,SINGLE,RTK,2026-05-27 13:33:23.0 UTC-06:00,2026-05-27 13:33:28.0 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
2,,,,,,,-106.83549789,40.47867525,2112.006,Global,0.101,0.083,0.264,0.131,1.934,m,SINGLE,RTK,2026-05-27 13:33:44.0 UTC-06:00,2026-05-27 13:33:49.0 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
1,,,,,,,-106.83549494,40.47866586,2112.468,Global,0.096,0.082,0.243,0.127,1.934,m,SINGLE,RTK,2026-05-27 13:34:03.0 UTC-06:00,2026-05-27 13:34:08.0 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
21,,,,,,,-106.83553858,40.47884422,2110.418,Global,0.110,0.090,0.291,0.142,1.934,m,SINGLE,RTK,2026-05-27 13:42:00.4 UTC-06:00,2026-05-27 13:42:05.4 UTC-06:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
23,,,,,,,-106.83554206,40.47886276,2109.905,Global,0.110,0.087,0.291,0.140,1.934,m,SINGLE,RTK,2026-05-27 13:42:26.2 UTC-06:00,2026-05-27 13:42:31.2 UTC-06:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
15.5,,,,,,,-106.83552641,40.47879563,2111.149,Global,0.093,0.082,0.191,0.124,1.934,m,SINGLE,RTK,2026-05-27 14:05:23.6 UTC-06:00,2026-05-27 14:05:28.6 UTC-06:00,26,1.0,1.2,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
14.5,,,,,,,-106.83552425,40.47878177,2111.614,Global,0.089,0.088,0.197,0.125,1.934,m,SINGLE,RTK,2026-05-27 14:36:38.8 UTC-06:00,2026-05-27 14:36:43.8 UTC-06:00,26,1.0,1.1,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
13.5,,,,,,,-106.83552017,40.47878024,2110.257,Global,0.092,0.088,0.190,0.128,1.934,m,SINGLE,RTK,2026-05-27 14:38:47.4 UTC-06:00,2026-05-27 14:38:52.4 UTC-06:00,26,1.0,1.1,,,,,,,,,Global CS,,,,,,Reach RS3,824394D6A0F52E01
