station,lat,lon,elev_m,grav_mean,grav_dc,grav_rel,FAC,FAA,instrument,n,grav_std,datetime_mid
1.0000,40.4787,-106.8355,2112.4680,3891.8183,3891.8184,0.0162,651.9076,651.9238,41422,3,0.0012,2026-05-27 12:32:56.666666
3.0000,40.4787,-106.8355,2111.5690,3891.8427,3891.8428,0.0406,651.6302,651.6708,41422,3,0.0023,2026-05-27 12:42:05.666666
4.0000,40.4787,-106.8355,2111.6920,3891.8650,3891.8652,0.0630,651.6682,651.7311,41422,3,0.0020,2026-05-27 12:54:13.666666
5.0000,40.4787,-106.8355,2111.8620,3891.8853,3891.8855,0.0833,651.7206,651.8040,41422,3,0.0065,2026-05-27 12:59:38.666666
6.0000,40.4787,-106.8355,2111.7900,3891.8993,3891.8996,0.0974,651.6984,651.7958,41422,3,0.0031,2026-05-27 13:05:21.666666
7.0000,40.4787,-106.8355,2111.2860,3891.9140,3891.9143,0.1121,651.5429,651.6549,41422,3,0.0026,2026-05-27 13:10:46.666666
8.0000,40.4787,-106.8355,2111.1520,3891.9357,3891.9360,0.1338,651.5015,651.6353,41422,3,0.0025,2026-05-27 13:17:08.666666
9.0000,40.4787,-106.8355,2111.2130,3891.9553,3891.9557,0.1535,651.5203,651.6738,41422,3,0.0015,2026-05-27 13:23:11.666666
10.0000,40.4787,-106.8355,2111.1510,3891.9743,3891.9747,0.1725,651.5012,651.6737,41422,3,0.0006,2026-05-27 13:29:13.666666
11.0000,40.4788,-106.8355,2111.0170,3891.9880,3891.9884,0.1862,651.4598,651.6460,41422,3,0.0026,2026-05-27 13:33:56.666666
12.0000,40.4788,-106.8355,2110.4320,3892.0000,3892.0004,0.1982,651.2793,651.4775,41422,3,0.0026,2026-05-27 13:37:35.666666
12.5000,40.4788,-106.8355,2110.4070,3892.0568,3892.0575,0.2553,651.2716,651.5269,41422,5,0.0019,2026-05-27 14:32:05.400000
13.0000,40.4788,-106.8355,2110.6340,3892.0173,3892.0178,0.2156,651.3417,651.5572,41422,3,0.0012,2026-05-27 13:42:04.666666
13.5000,40.4788,-106.8355,2110.2570,3892.0603,3892.0610,0.2588,651.2253,651.4841,41422,3,0.0012,2026-05-27 14:23:23.666666
14.0000,40.4788,-106.8355,2111.5190,3892.0330,3892.0335,0.2313,651.6148,651.8460,41422,3,0.0010,2026-05-27 13:46:13.666666
14.5000,40.4788,-106.8355,2111.6140,3892.0575,3892.0581,0.2559,651.6441,651.9000,41422,10,0.0106,2026-05-27 14:09:04.300000
15.0000,40.4788,-106.8355,2111.3990,3892.0637,3892.0641,0.2620,651.5777,651.8397,41422,3,0.0006,2026-05-27 13:50:07.666666
15.0000,40.4788,-106.8355,2111.3990,3705.3120,3892.0641,0.2620,651.5777,651.8397,40353,8,0.0125,2026-05-27 12:37:40.625000
15.5000,40.4788,-106.8355,2111.1490,3705.3897,3892.1765,0.3743,651.5006,651.8749,40353,3,0.0040,2026-05-27 14:11:41.666666
16.5000,,,,3705.4150,3892.2000,0.3978,,,40353,3,0.0036,2026-05-27 14:06:46.666666
17.0000,40.4788,-106.8355,2110.8230,3705.3593,3892.1148,0.3126,651.4000,651.7126,40353,3,0.0025,2026-05-27 12:46:43.666666
17.5000,,,,3705.4270,3892.2103,0.4081,,,40353,5,0.0020,2026-05-27 14:02:03.200000
18.0000,40.4788,-106.8355,2110.6240,3705.4037,3892.1616,0.3594,651.3386,651.6979,40353,3,0.0025,2026-05-27 12:53:16.666666
19.0000,40.4788,-106.8355,2110.0770,3705.4347,3892.1945,0.3923,651.1698,651.5621,40353,3,0.0025,2026-05-27 12:58:34.666666
20.0000,40.4788,-106.8355,2110.2810,3705.4313,3892.1931,0.3909,651.2327,651.6236,40353,3,0.0006,2026-05-27 13:03:45.666666
21.0000,40.4788,-106.8355,2110.4180,3705.4623,3892.2258,0.4237,651.2750,651.6987,40353,3,0.0006,2026-05-27 13:08:30.666666
22.0000,40.4789,-106.8355,2109.8980,3705.4763,3892.2413,0.4391,651.1145,651.5536,40353,3,0.0021,2026-05-27 13:12:28.666666
23.0000,40.4789,-106.8355,2109.9050,3705.5073,3892.2739,0.4717,651.1167,651.5884,40353,3,0.0025,2026-05-27 13:16:51.666666
24.0000,40.4789,-106.8355,2109.9930,3705.5127,3892.2813,0.4791,651.1438,651.6229,40353,3,0.0029,2026-05-27 13:22:18.666666
25.0000,40.4789,-106.8355,2110.2700,3705.5257,3892.2962,0.4940,651.2293,651.7233,40353,3,0.0047,2026-05-27 13:27:32.666666
26.0000,40.4789,-106.8355,2110.1430,3705.5430,3892.3153,0.5131,651.1901,651.7033,40353,3,0.0069,2026-05-27 13:32:25.666666
26.2000,,,,3705.5633,3892.3533,0.5511,,,40353,3,0.0006,2026-05-27 14:20:11.666666
27.0000,40.4789,-106.8355,2110.3270,3705.5490,3892.3239,0.5217,651.2469,651.7686,40353,3,0.0010,2026-05-27 13:39:23.666666
28.0000,40.4789,-106.8355,2109.9040,3705.5987,3892.3761,0.5739,651.1164,651.6903,40353,3,0.0021,2026-05-27 13:46:18.666666
29.0000,40.4789,-106.8356,2109.8650,3705.6267,3892.4061,0.6040,651.1043,651.7083,40353,3,0.0136,2026-05-27 13:51:48.666666
29.2000,,,,3705.6320,3892.4241,0.6219,,,40353,3,0.0010,2026-05-27 14:25:59.666666
